feature,parameter_group,parameter,
F0semitoneFrom27.5Hz_sma3nz_amean,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,frequency,pitch,
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,frequency,pitch,
loudness_sma3_amean,energy_amplitude,loudness,
loudness_sma3_stddevNorm,energy_amplitude,loudness,
loudness_sma3_percentile20.0,energy_amplitude,loudness,
loudness_sma3_percentile50.0,energy_amplitude,loudness,
loudness_sma3_percentile80.0,energy_amplitude,loudness,
loudness_sma3_pctlrange0-2,energy_amplitude,loudness,
loudness_sma3_meanRisingSlope,energy_amplitude,loudness,
loudness_sma3_stddevRisingSlope,energy_amplitude,loudness,
loudness_sma3_meanFallingSlope,energy_amplitude,loudness,
loudness_sma3_stddevFallingSlope,energy_amplitude,loudness,
spectralFlux_sma3_amean,spectral,spectral_flux,
spectralFlux_sma3_stddevNorm,spectral,spectral_flux,
mfcc1_sma3_amean,spectral,mfcc_1_to_4,
mfcc1_sma3_stddevNorm,spectral,mfcc_1_to_4,
mfcc2_sma3_amean,spectral,mfcc_1_to_4,
mfcc2_sma3_stddevNorm,spectral,mfcc_1_to_4,
mfcc3_sma3_amean,spectral,mfcc_1_to_4,
mfcc3_sma3_stddevNorm,spectral,mfcc_1_to_4,
mfcc4_sma3_amean,spectral,mfcc_1_to_4,
mfcc4_sma3_stddevNorm,spectral,mfcc_1_to_4,
jitterLocal_sma3nz_amean,frequency,jitter,
jitterLocal_sma3nz_stddevNorm,frequency,jitter,
shimmerLocaldB_sma3nz_amean,energy_amplitude,shimmer,
shimmerLocaldB_sma3nz_stddevNorm,energy_amplitude,shimmer,
HNRdBACF_sma3nz_amean,energy_amplitude,harmonics_to_noise_ratio,
HNRdBACF_sma3nz_stddevNorm,energy_amplitude,harmonics_to_noise_ratio,
logRelF0-H1-H2_sma3nz_amean,spectral,harmonic_difference_h1_to_h2,
logRelF0-H1-H2_sma3nz_stddevNorm,spectral,harmonic_difference_h1_to_h2,
logRelF0-H1-A3_sma3nz_amean,spectral,harmonic_difference_h1_to_h3,
logRelF0-H1-A3_sma3nz_stddevNorm,spectral,harmonic_difference_h1_to_h3,
F1frequency_sma3nz_amean,frequency,formant_1_2_and_3_frequency,
F1frequency_sma3nz_stddevNorm,frequency,formant_1_2_and_3_frequency,
F1bandwidth_sma3nz_amean,frequency,formant_1_2_and_3_bandwidth,
F1bandwidth_sma3nz_stddevNorm,frequency,formant_1_2_and_3_bandwidth,
F1amplitudeLogRelF0_sma3nz_amean,spectral,formant_1_2_and_3_relative_energy,
F1amplitudeLogRelF0_sma3nz_stddevNorm,spectral,formant_1_2_and_3_relative_energy,
F2frequency_sma3nz_amean,frequency,formant_1_2_and_3_frequency,
F2frequency_sma3nz_stddevNorm,frequency,formant_1_2_and_3_frequency,
F2bandwidth_sma3nz_amean,frequency,formant_1_2_and_3_bandwidth,
F2bandwidth_sma3nz_stddevNorm,frequency,formant_1_2_and_3_bandwidth,
F2amplitudeLogRelF0_sma3nz_amean,spectral,formant_1_2_and_3_relative_energy,
F2amplitudeLogRelF0_sma3nz_stddevNorm,spectral,formant_1_2_and_3_relative_energy,
F3frequency_sma3nz_amean,frequency,formant_1_2_and_3_frequency,
F3frequency_sma3nz_stddevNorm,frequency,formant_1_2_and_3_frequency,
F3bandwidth_sma3nz_amean,frequency,formant_1_2_and_3_bandwidth,
F3bandwidth_sma3nz_stddevNorm,frequency,formant_1_2_and_3_bandwidth,
F3amplitudeLogRelF0_sma3nz_amean,spectral,formant_1_2_and_3_relative_energy,
F3amplitudeLogRelF0_sma3nz_stddevNorm,spectral,formant_1_2_and_3_relative_energy,
alphaRatioV_sma3nz_amean,spectral,alpha_ratio,
alphaRatioV_sma3nz_stddevNorm,spectral,alpha_ratio,
hammarbergIndexV_sma3nz_amean,spectral,hammarberg_index,
hammarbergIndexV_sma3nz_stddevNorm,spectral,hammarberg_index,
slopeV0-500_sma3nz_amean,spectral,spectral_slope,
slopeV0-500_sma3nz_stddevNorm,spectral,spectral_slope,
slopeV500-1500_sma3nz_amean,spectral,spectral_slope,
slopeV500-1500_sma3nz_stddevNorm,spectral,spectral_slope,
spectralFluxV_sma3nz_amean,spectral,spectral_flux,
spectralFluxV_sma3nz_stddevNorm,spectral,spectral_flux,
mfcc1V_sma3nz_amean,spectral,mfcc_1_to_4,
mfcc1V_sma3nz_stddevNorm,spectral,mfcc_1_to_5,
mfcc2V_sma3nz_amean,spectral,mfcc_1_to_6,
mfcc2V_sma3nz_stddevNorm,spectral,mfcc_1_to_7,
mfcc3V_sma3nz_amean,spectral,mfcc_1_to_8,
mfcc3V_sma3nz_stddevNorm,spectral,mfcc_1_to_9,
mfcc4V_sma3nz_amean,spectral,mfcc_1_to_10,
mfcc4V_sma3nz_stddevNorm,spectral,mfcc_1_to_11,
alphaRatioUV_sma3nz_amean,spectral,alpha_ratio,
hammarbergIndexUV_sma3nz_amean,spectral,hammarberg_index,
slopeUV0-500_sma3nz_amean,spectral,spectral_slope,
slopeUV500-1500_sma3nz_amean,spectral,spectral_slope,
spectralFluxUV_sma3nz_amean,spectral,spectral_flux,
loudnessPeaksPerSec,temporal,rate_of_loudness_peaks,
VoicedSegmentsPerSec,temporal,number_of_voiced_regions_per_second,
MeanVoicedSegmentLengthSec,temporal,voiced_regions,
StddevVoicedSegmentLengthSec,temporal,voiced_regions,
MeanUnvoicedSegmentLength,temporal,unvoiced_regions,
StddevUnvoicedSegmentLength,temporal,unvoiced_regions,
equivalentSoundLevel_dBp,energy_amplitude,equivalent_sound_level,